time_s,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,qw,qx,qy,qz,wx_radps,wy_radps,wz_radps,est_qw,est_qx,est_qy,est_qz,est_wx_radps,est_wy_radps,est_wz_radps,q_norm,est_q_norm,tilt_deg,est_tilt_deg,attitude_error_deg,rate_error_radps,body_z_x,body_z_y,body_z_z,lateral_m,cmd_gimbal_total_deg,ach_gimbal_total_deg,gimbal_lag_error_deg,requested_torque_norm_nm,achievable_torque_norm_nm,available_tvc_torque_nm,torque_authority_margin_nm,rate_limited,position_limited,saturated
1.4799999999999904,-2.26760632910135,0.03497358211195766,7.683764535657363,-3.5485670277360657,0.06146328716027467,10.337176395023025,0.9965589991954981,-0.0012832826770916156,-0.08287650026378161,3.4735620744599833e-06,0.005201702493334064,0.0009184912376084286,1.635773557652422e-20,0.9964775107662535,-0.0011548497486731,-0.08385239565379121,-0.00011225982952524458,0.004602992917674659,0.0018551736456601806,0.0016279071346843596,1.0,1.0,9.508995135144007,9.620987238769045,0.11395388716075114,0.0019712708410302565,-0.16518265323452336,0.002557158047398319,0.9862596777791964,2.2678760140771015,0.09573690218359972,0.11097650809584435,0.015247696037911783,25.00866073793917,1.9756422735510752,88.89885760261133,63.89019686467216,0,0,0
1.4849999999999903,-2.2853823748624498,0.03528172863757554,7.735537370465119,-3.5618508118129384,0.06179499614701845,10.371957463446153,0.9965591738839712,-0.0012704939899792474,-0.08287459666360637,4.534651131602826e-06,0.005064392837463091,0.0006116201681950197,1.6364009894652028e-20,0.9964773322469191,-0.0011447881401645934,-0.08385465894446363,-0.00010932284861682198,0.00410899496009169,-0.0009090199146310997,0.0008321246584518075,1.0,1.0,9.508753617136078,9.621231620870713,0.11436132537733663,0.0019792834089100895,-0.16517889069659578,0.0025314932673894544,0.9862603741457322,2.2856546982664696,0.09086386189274748,0.10963463025019508,0.018856221758958458,25.09771332922682,1.9517537285651927,88.89885760261133,63.80114427338451,0,0,0
1.4899999999999902,-2.3032248375984405,0.03559152872974421,7.787484108811875,-3.575133836767564,0.062124723661864806,10.406737807103513,0.9965592897822536,-0.0012580500012062475,-0.08287339276198705,5.567966861818022e-06,0.004924988516700604,0.00035679253305584256,1.6370284212779837e-20,0.9964773371477718,-0.0011334627521358527,-0.08385475473033281,-0.00010918878809291683,0.004518700052718929,-3.758113411504987e-05,-0.0003264829584589393,1.0,1.0,9.50859337362586,9.621224944318378,0.11450436324379286,0.0006535992866324966,-0.16517651287502458,0.002506519958816072,0.9862608361646239,2.3034998175488712,0.09230065570163971,0.10847893280143564,0.01618768061476684,25.06977972684911,1.9311796271670674,88.89885760261133,63.82907787576222,0,0,0
1.4949999999999901,-2.321133713072477,0.035902972409776295,7.839604747141811,-3.588415922633185,0.062452441390340216,10.441517453752478,0.9965593570845149,-0.001245958131815249,-0.0828727660479095,6.572729119160807e-06,0.004781721509463948,0.00014826993433807926,1.637185279231179e-20,0.9964769971506289,-0.0011206418571749245,-0.08385895891336274,-0.00011541863244427897,0.0049013611509327905,-0.0016837689174111865,-0.002915117648804487,1.0,1.0,9.508500314548423,9.621688553818576,0.11515999422004476,0.0034450821332010304,-0.1651752772837308,0.0024822530691068784,0.9862611044718047,2.3214113675498105,0.08919243602619896,0.10719316508670224,0.018000835622642923,25.123484595168158,1.9082899720883135,88.89885760261133,63.77537300744317,0,0,0
1.49999999999999,-2.339108997263019,0.03621604957930422,7.891899281852932,-3.6016973355595714,0.06277812989652842,10.476296357155281,0.9965593857689843,-0.0012342300260528077,-0.08287259652634485,7.547812803964078e-06,0.004632969790520806,-1.0228996169649683e-05,1.6373421371843744e-20,0.9964589714927902,-0.0018374165346310104,-0.0840601846086097,-0.0001655160887292257,0.0060581088450773635,-0.0005601268662001526,0.003985400798795706,1.0,1.0,9.508460646209203,9.646277055243472,0.1543473789337959,0.004268117678711295,-0.16517494641422456,0.0024587160196313284,0.9862612188424491,2.339389344107546,0.08951186052493966,0.10597969163991325,0.01937471844364296,25.149195947191696,1.886687316180076,88.89885760261133,63.74966165541963,0,0,0
1.50499999999999,-2.357150686985466,0.03653075273110757,7.944367709186209,-3.614978144041481,0.0631028444031986,10.51107450076437,0.99655938624119,-0.0012228546159218246,-0.08287275939066754,8.493978460217764e-06,0.004498588270256653,-0.00011856053508996309,1.6373421371843744e-20,0.9964590578274622,-0.0018211128965236727,-0.08405953669172431,-0.0001546369839218855,0.006864182965557958,0.0002542355876748526,0.0037885198171146196,1.0,0.9999999999999999,9.508459982813148,9.646161772384035,0.1538701005441345,0.004481952433511131,-0.16517527324275647,0.002435886652144113,0.9862612207551298,2.357433743936647,0.09059352123858778,0.10493439602333135,0.016237948719924705,25.122585237166255,1.868078617646334,88.89885760261133,63.776272365445074,0,0,0
1.5099999999999898,-2.375258778658345,0.036847076591452706,7.997010025430323,-3.628258121025245,0.06342642254888439,10.545851920177158,0.9965593683813663,-0.0012118015915036835,-0.08287313641717423,9.413597731406481e-06,0.0043741688011504545,-0.0001821531924918921,1.6374989951375698e-20,0.9964589746600852,-0.0018108038242805103,-0.08406074170890813,-0.00015656382025553388,0.004044253731445161,-0.0004810552594325876,-0.0011155186749353951,1.0,0.9999999999999999,9.508484664179377,9.646274710404318,0.15403244078325157,0.0012010696536711302,-0.16517602378218932,0.0024137041885269475,0.9862611495945668,2.375544563388965,0.09039548536766458,0.10391417649911662,0.018232974627149748,25.147686164234536,1.84991632838636,88.89885760261133,63.751171438376794,0,0,0
1.5149999999999897,-2.3934332682463713,0.03716501672797486,8.049826226934385,-3.6415373122091546,0.06374936306936001,10.580628603944666,0.9965593415640951,-0.001201035022223959,-0.08287361552343851,1.0309519859522994e-05,0.004268631782112239,-0.0002005085855085677,1.637263708207777e-20,0.9964585902314324,-0.0018059607537477687,-0.08406540487707544,-0.00015544322375863012,0.001968061291444426,-0.0018720968237010086,0.00028040482593152385,1.0,1.0,9.508521729056756,9.646798866682092,0.15475894805129767,0.0028575266730164633,-0.16517697620233654,0.0023920965675157152,0.9862610427298977,2.3937217983752617,0.08892923496972958,0.1028314209200094,0.020901479804489462,25.19462482441785,1.8306407489311327,88.89885760261133,63.70423277819348,0,0,0
1.5199999999999896,-2.411674152191825,0.0374845708028181,8.102816309949826,-3.6548158627970695,0.06407200450424975,10.615404524463713,0.9965593155373283,-0.0011905005454100476,-0.08287408038158799,1.1186124295247357e-05,0.004187853628500979,-0.00017071726890647218,1.6369499923013866e-20,0.9964587063221968,-0.0017996388968803578,-0.08406415677446206,-0.000159500261828547,0.0023833710720957257,0.0005047005316353341,-0.0018287391292287553,1.0,1.0,9.508557700043873,9.646639782037502,0.15487199431797516,0.002656432439274885,-0.16517790027589585,0.0023709547378333007,0.9862609390187151,2.411965445316004,0.09278656425138625,0.10210426545523286,0.015884703707090716,25.118078503575703,1.817695680111682,88.89885760261133,63.78077909903563,0,0,0
1.5249999999999895,-2.4299814259168584,0.03780573698398171,8.155980270882221,-3.668093219828254,0.06439421057529347,10.650179770948588,0.9965592992277189,-0.001180140741590241,-0.08287442455566223,1.2048058994054596e-05,0.004128411850264407,-0.00010362981217631644,1.6367539198598927e-20,0.9964585883067637,-0.0017894842425863605,-0.0840657763215657,-0.00015743979647832177,0.004116780358705878,-0.0006503284412960912,0.00047863710534255723,1.0,0.9999999999999999,9.508580235404352,9.646801062456168,0.15499488535702097,0.0007267105072090394,-0.16517858535499297,0.002350163508946212,0.9862608740447958,2.4302754996192983,0.08989700366388437,0.10126015168864876,0.014687480565957594,25.154446297382115,1.8026684834710713,88.89885760261133,63.744411305229214,0,0,0
