trial,controller,passed,final_altitude_m,max_altitude_m,max_tilt_deg,final_tilt_deg,max_lateral_m,final_lateral_m,max_angular_rate_radps,min_body_z,saturation_fraction,mass_kg,inertia_scale,thrust_n,wind_x_mps,wind_y_mps,wind_speed_mps,thrust_misalign_deg,thrust_offset_x_m,cp_z_m,cn_alpha,max_gimbal_deg
22,lqr_tvc,1,34.4034,34.4034,2.53747,1.99853,2.36442,2.36442,0.134676,0.999019,0,48.8574,1.00728,854.147,5.76186,5.30289,7.83069,0.40184,0.00605764,0.220109,2.54172,5.28019
23,open_loop,0,6.72547,11.253,175.108,99.9563,24.1407,24.1407,4.6728,-0.996357,0,52.0257,1.14409,826.267,4.81454,2.74827,5.54371,2.18985,0.00375668,0.244289,2.45565,5.73557
23,pd_tvc,1,24.6304,24.6304,18.9381,16.3043,17.9084,17.9084,0.853397,0.94587,0,52.0257,1.14409,826.267,4.81454,2.74827,5.54371,2.18985,0.00375668,0.244289,2.45565,5.73557
23,lqr_tvc,1,25.5923,25.5923,14.7887,13.2366,14.4143,14.4143,0.728668,0.966874,0,52.0257,1.14409,826.267,4.81454,2.74827,5.54371,2.18985,0.00375668,0.244289,2.45565,5.73557
24,open_loop,0,29.0849,29.0849,116.813,116.813,13.083,13.083,2.87314,-0.451076,0,49.4763,1.04361,851.517,2.01374,-3.04455,3.65026,1.35277,0.000728592,0.544675,2.44197,5.81956
24,pd_tvc,1,32.1199,32.1199,11.8017,9.12824,12.2502,12.2502,0.554318,0.978861,0,49.4763,1.04361,851.517,2.01374,-3.04455,3.65026,1.35277,0.000728592,0.544675,2.44197,5.81956
24,lqr_tvc,1,32.5118,32.5118,9.34553,7.58128,9.94019,9.94019,0.484674,0.986727,0,49.4763,1.04361,851.517,2.01374,-3.04455,3.65026,1.35277,0.000728592,0.544675,2.44197,5.81956
25,open_loop,0,8.60279,13.5694,177.775,57.4986,27.1094,27.1094,5.24521,-0.999246,0,49.3264,1.13963,855.179,-0.767825,0.950643,1.222,0.469659,0.00309443,0.444798,2.25985,5.16128
25,pd_tvc,1,33.6537,33.6537,4.25455,3.78144,4.65515,4.65515,0.192602,0.997244,0,49.3264,1.13963,855.179,-0.767825,0.950643,1.222,0.469659,0.00309443,0.444798,2.25985,5.16128
25,lqr_tvc,1,33.7094,33.7094,3.33716,3.09426,3.76944,3.76944,0.164592,0.998304,0,49.3264,1.13963,855.179,-0.767825,0.950643,1.222,0.469659,0.00309443,0.444798,2.25985,5.16128
26,open_loop,0,31.3119,31.3119,28.1202,28.1202,5.39413,5.39413,0.604407,0.881961,0,50.2161,0.984755,847.049,1.66209,-1.88469,2.51288,2.41398,6.99862e-05,0.288658,2.29072,5.78478
26,pd_tvc,1,27.9081,27.9081,21.3316,18.842,22.1779,22.1779,1.00546,0.931491,0,50.2161,0.984755,847.049,1.66209,-1.88469,2.51288,2.41398,6.99862e-05,0.288658,2.29072,5.78478
26,lqr_tvc,1,29.2362,29.2362,16.9175,15.2655,18.0743,18.0743,0.892105,0.956725,0,50.2161,0.984755,847.049,1.66209,-1.88469,2.51288,2.41398,6.99862e-05,0.288658,2.29072,5.78478
27,open_loop,0,8.58505,13.2036,179.265,86.8161,25.2916,25.2916,4.652,-0.999918,0,51.6892,1.09648,872.696,0.0425408,0.22694,0.230893,2.46773,0.00296853,0.243664,2.95154,4.22424
