time_s,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,qw,qx,qy,qz,wx_radps,wy_radps,wz_radps,q_norm,tilt_deg,signed_pitch_deg,unwrapped_pitch_deg,signed_yaw_deg,body_z_x,body_z_y,body_z_z,lateral_m
0.14000000000000004,0.004341303810642395,7.246591630186001e-05,0.07044207488478547,0.05812736385173594,0.0011662065300021014,1.006388161280314,0.9999879553790421,-0.00016236203014144456,-0.004905378213176491,-4.655927141520269e-10,-0.004650564335297485,-0.1401582799762786,-1.2630986681046768e-21,1.0,0.5624250175019733,-0.5621172136409333,-0.5621172136409333,0.018605990077276778,-0.009810638259359327,0.00032472015367248383,0.9999518218063138,0.004341908576343316
0.14500000000000005,0.004635692508532376,7.844984172597265e-05,0.07556389742934672,0.05961803575151061,0.0012277084594840895,1.0423410063737655,0.9999861402917947,-0.00017419871217839994,-0.005262022342034704,-6.238827510118816e-10,-0.004818952328482686,-0.14516059502482204,-1.2630986681046768e-21,1.0,0.6033164556443309,-0.6029861539283158,-0.6029861539283158,0.01996253160577037,-0.010523898823663589,0.00034839260223592876,0.9999445615513615,0.004636356264495862
0.15000000000000005,0.004937381609081482,8.474651105405035e-05,0.08086548643998095,0.061047172233660914,0.0012913164945152348,1.0782947461479762,0.9999841274505761,-0.00018645670608147548,-0.005631170465100257,-8.209949390155658e-10,-0.004987639268651648,-0.1501621613676908,-3.672436829183576e-21,1.0,0.6456416584116095,-0.6452880467577427,-0.6452880467577427,0.02136738164986269,-0.011262162167831312,0.00037290750232271046,0.9999365103061797,0.004938108861176703
0.15500000000000005,0.005246058145172583,9.136664096508887e-05,0.08634684636276235,0.062412657327765776,0.0013571051175321862,1.1142493688831967,0.9999819030032112,-0.0001991367728243092,-0.006012820521373245,-1.0638556555736308e-09,-0.005156639400941753,-0.15516292840059348,-3.672436829183576e-21,1.0,0.6894004070952691,-0.6890226705136105,-0.6890226705136105,0.022820631745896207,-0.01202542341433545,0.000398266350887088,0.9999276126678471,0.005246853716810947
0.16000000000000006,0.005561398570473064,9.832132088366832e-05,0.09200798157321638,0.06371237532184482,0.001425148945201873,1.1502048580533935,0.9999794526317762,-0.00021223970855094556,-0.006406970310471659,-1.360253445808838e-09,-0.005325966971795246,-0.16016284579593473,-3.672436829183576e-21,1.0,0.7345924686749186,-0.7341897891360599,-0.7341897891360599,0.02432237792072947,-0.012813677327609584,0.0004244707125972114,0.9999178113714937,0.00556226762586988
0.16500000000000006,0.00588306876078435,0.00010562201366414345,0.09784889635189392,0.06494421078537385,0.001495522733635216,1.186161192168503,0.9999767615530994,-0.00022576634454405598,-0.006813617492455791,-1.718906198857868e-09,-0.00549563622552497,-0.1651618635208149,-3.672436829183576e-21,1.0,0.7812175959008048,-0.7807891522037772,-0.7807891522037772,0.025872720720129732,-0.01362691830835884,0.0004515222195936314,0.9999070472924485,0.005884016829843978
0.17000000000000007,0.006210724015507805,0.00011328055630087345,0.10386959485915717,0.06610604859281743,0.0015683013835889445,1.2221183446168493,0.9999738145192826,-0.00023971754718354099,-0.007232759587669188,-2.1495307073696146e-09,-0.005665661400928763,-0.17015993185493153,-3.672436829183576e-21,1.0,0.829275527378746,-0.8288204950219785,-0.8288204950219785,0.027471765237236274,-0.01446514038773438,0.00047942257122274084,0.9998952594484891,0.006211757020460574
0.17500000000000007,0.006544009059229606,0.00012130916066442825,0.11007008110917793,0.067195773947693,0.0016435599456542107,1.2580762835077337,0.999970595818247,-0.00025409421789563313,-0.007664393976596051,-2.6629145874017527e-09,-0.005836056727956611,-0.1751570014083684,-7.68800043098174e-21,1.0,0.8787659876662026,-0.8782835387155401,-0.8782835387155401,0.02911962114112116,-0.015328337221371809,0.0005081735337453885,0.9998823850021998,0.006545133343159653
0.18000000000000008,0.006882558043427307,0.00012972041426370225,0.11645035894314933,0.06821127240718089,0.001721373625430693,1.2940349715142003,0.9999670892742998,-0.0002688972930926281,-0.00810851789973482,-3.2709905345648344e-09,-0.006006836424434462,-0.18015302313925746,-5.278662269902841e-21,1.0,0.929688687367128,-0.9291779903272461,-0.9291779903272461,0.030816402705475573,-0.016216502083293654,0.0005377769400209178,0.9998683592634309,0.006883780400842452
0.18500000000000008,0.00722599454830084,0.00013852728103385946,0.12301043200171186,0.06915042990729478,0.001801817788684864,1.329994365715989,0.9999632782487226,-0.0002841277441033818,-0.008565128457487758,-3.986912890973124e-09,-0.006178014692848492,-0.1851479483713,-6.884887710622108e-21,1.0,0.9820433232337711,-0.9815035429211142,-0.9815035429211142,0.03256222883745163,-0.017129627859676182,0.0005682346891669058,0.9998531156918639,0.007227322257908809
