time_s,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,qw,qx,qy,qz,wx_radps,wy_radps,wz_radps,q_norm,tilt_deg,signed_pitch_deg,unwrapped_pitch_deg,signed_yaw_deg,body_z_x,body_z_y,body_z_z,lateral_m,gimbal_x_deg,gimbal_y_deg,gimbal_total_deg,requested_torque_norm_nm,achievable_torque_norm_nm,saturated
2.5749999999999673,-9.617808541501972,0.13446519421677494,22.836495541892358,-7.912464658611287,0.14570924529527832,17.669171278681812,0.9953549261361416,-0.001873398330490363,-0.09625503847657028,-0.00017018544435306942,-0.0012254486963174853,0.01963116667188266,-1.077614138451305e-20,1.0,11.049217219790947,-11.047140532446342,-11.047140532446342,0.21962576470123488,-0.19161521577590152,0.003762154926726326,0.9814629158931387,9.618748464818282,0.23913615466194746,0.026851719493746387,0.24063897295798467,22.449393751786523,4.283928020594271,0
2.579999999999967,-9.657407093023696,0.1351950250776739,22.92492721924503,-7.9269537198943585,0.14622323117157443,17.703499824949795,0.9953596461963833,-0.001876437821037354,-0.09620615681984308,-0.00017057218522940453,-0.0012242100837439034,0.019656135132041272,-1.0851433202046765e-20,1.0,11.043597551838316,-11.041513007858603,-11.041513007858603,0.2199791842254646,-0.19151881229202639,0.0037682811601170733,0.9814817087421193,9.658353351125136,0.23982530871477784,0.026890289681667987,0.24132813010360502,22.437144229933754,4.296196530975558,0
2.584999999999967,-9.697078056385262,0.1359274278488281,23.01353054176646,-7.941429391791055,0.14673800925023264,17.737829345977623,0.9953643698505604,-0.001879474210853999,-0.09615721284331885,-0.00017095874450596222,-0.0012229687556911308,0.019681067965385515,-1.0901627747069242e-20,1.0,11.037970749408272,-11.03587833512559,-11.03587833512559,0.2203322230774556,-0.19142228451164975,0.003774401159839913,0.9815005159897909,9.698030681394556,0.24051524424001322,0.02692881532163217,0.24201806504155798,22.424880817067553,4.3084788871367286,0
2.589999999999967,-9.736821364598397,0.13666240648904066,23.102305514327337,-7.955891657768383,0.14725357864745459,17.77215984052155,0.9953690970810173,-0.0018825074931458038,-0.09610820663454359,-0.0001713451217028562,-0.001221724716310482,0.019705965448986448,-1.0901627747069242e-20,1.0,11.032336822652525,-11.03023652441322,-11.03023652441322,0.22068488047562723,-0.19132563260285193,0.0037805149121264547,0.9815193375660605,9.73778038874605,0.24120596053930735,0.02696729632944626,0.2427087770786422,22.412603525564045,4.320775076733379,0
2.594999999999967,-9.776636950592218,0.13739996495269105,23.191252141792116,-7.970340501315546,0.14776993847762698,17.806491307328248,0.995373827870169,-0.0018855376611284463,-0.09605913828038824,-0.00017173131634259684,-0.0012204779697382025,0.019730827849521848,-1.0901627747069242e-20,1.0,11.02669578164456,-11.024587585809552,-11.024587585809552,0.22103715563972784,-0.19122885673239073,0.003786622403228828,0.9815381734011157,9.777602406216674,0.24189745690688336,0.027005732621021464,0.24340026551426686,22.400312367931555,4.333085087289537,0
2.599999999999967,-9.816524747213343,0.13814010718972627,23.280370429018955,-7.984775905943849,0.14828708785332415,17.840823745134827,0.9953785622004995,-0.0018885647080277427,-0.09601000786707435,-0.00017211732795004506,-0.001219228520094912,0.01975565542347883,-1.0876530474558003e-20,1.0,11.02104763638307,-11.018931529327705,-11.018931529327705,0.22138904779083168,-0.1911319570657518,0.003792723619419609,0.9815570234254162,9.817496666761155,0.2425897326295112,0.027044124112371552,0.2440925296404277,22.38800735681097,4.345408906197256,0
2.6049999999999667,-9.856484687226002,0.13888283714565158,23.369660380859678,-7.999197855186612,0.1488050258853106,17.87515715266885,0.9953833000545581,-0.0018915886270796105,-0.09596081548019908,-0.00017250315605236668,-0.0012179763714850755,0.019780448417356343,-1.0901627747069242e-20,1.0,11.015392396794688,-11.01326836490876,-11.01326836490876,0.22174055615133545,-0.19103493376719793,0.003798818546991733,0.9815758875696824,9.857463103251987,0.2432827869864936,0.02708247071961141,0.24478556874169324,22.37568850497602,4.357746520716342,0
2.6099999999999666,-9.896516703312148,0.1396281587615216,23.45912200215972,-8.013606332599084,0.1493237516825436,17.909491528648367,0.9953880414149581,-0.0018946094115300318,-0.09591156120475988,-0.00017288880017898728,-0.0012167215279965003,0.019805207067867384,-1.0851433202046765e-20,1.0,11.009730072736645,-11.00759810242458,-11.00759810242458,0.22209167994495516,-0.1909377869998177,0.003804907172258418,0.9815947657648869,9.897501648479555,0.24397661924965702,0.027120772358955894,0.24547938209519435,22.3633558253334,4.370097917974196,0
2.6149999999999665,-9.936620728071562,0.14037607597393117,23.548755297758085,-8.028001321758362,0.14984326435217557,17.943826871781916,0.9953927862643734,-0.0018976270546350155,-0.09586224512517855,-0.00017327425986154763,-0.0012154639936998578,0.019829931602140832,-1.0851433202046765e-20,1.0,11.004060673999835,-11.001920751680615,-11.001920751680615,0.2224424183967224,-0.19084051692557288,0.0038109894815530725,0.9816136579422434,9.937612235152228,0.24467122868334862,0.027159028946718396,0.2461739689706208,22.35100933092287,4.38246308496573,0
2.6199999999999664,-9.976796694021965,0.1411265927150064,23.638560272487297,-8.042382806263312,0.15036356299955664,17.97816318076855,0.9953975345855371,-0.0019006415496605569,-0.09581286732532483,-0.00017365953463385967,-0.0012142037726482313,0.019854622237922673,-1.0876530474558004e-20,1.0,10.998384210311396,-10.996236322418586,-10.996236322418586,0.2227927707329806,-0.190743123705345,0.003817065461229209,0.981632564033199,9.977794795896484,0.24536661454444061,0.027197240399309684,0.24686932863022484,22.338649034917154,4.3948420085534465,0
2.6249999999999662,-10.01704453359913,0.1418797129123957,23.728536931173345,-8.056750769734501,0.1508846467282372,18.01250045429786,0.9954022863612382,-0.0019036528898825967,-0.09576342788853946,-0.000174044624031863,-0.0012129408688766872,0.019879279183776476,-1.0851433202046765e-20,1.0,10.992700691337273,-10.990544824319157,-10.990544824319157,0.22314273618138125,-0.19064560749898046,0.0038231350976603564,0.9816514839694229,10.01804926325701,0.24606277608234006,0.027235406633236574,0.24756546032883012,22.32627495062175,4.4072346754675875,0
