time_s,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,qw,qx,qy,qz,wx_radps,wy_radps,wz_radps,est_qw,est_qx,est_qy,est_qz,est_wx_radps,est_wy_radps,est_wz_radps,gyro_x_radps,gyro_y_radps,gyro_z_radps,accel_x_mps2,accel_y_mps2,accel_z_mps2,attitude_error_deg,rate_error_radps,estimator_correction_rad,q_norm,est_q_norm,tilt_deg,est_tilt_deg,signed_pitch_deg,est_signed_pitch_deg,signed_yaw_deg,est_signed_yaw_deg,body_z_x,body_z_y,body_z_z,est_body_z_x,est_body_z_y,est_body_z_z,lateral_m,gimbal_x_deg,gimbal_y_deg,gimbal_total_deg,requested_torque_norm_nm,achievable_torque_norm_nm,saturated
0.8700000000000007,-0.6344472791954597,0.008551118691571654,2.6737977709374046,-1.9284225800147874,0.025215276597154623,6.097409155469395,0.9959995180961306,-0.001123239545610672,-0.08935153812020649,-3.0343899623137894e-05,-0.0010548002463128285,0.019521014328805406,-9.130701455494968e-21,0.9961690878975051,0.00014916253009623418,-0.08744779884565128,9.243940053313757e-05,-0.0024515170886700126,0.01992359378543342,-0.0006570048483012917,0.007548482911329988,0.01392359378543342,0.0013429951516987083,0.062088322393135054,-0.0753466505135085,17.03138605166356,0.2634873927816104,0.0015951625394656599,0.0,1.0,0.9999999999999999,10.253417572924471,10.033610067947098,-10.252620827890947,-10.033594169863964,0.13059491017552394,-0.018232452462675717,-0.17798810965081138,0.0022429146404772775,0.9840300819369532,-0.17422556045244417,-0.0003133494473153683,0.9847057204551801,0.6345049028253438,0.06759379488552517,0.0020308675005255967,0.06762429688973587,25.497559399279847,1.2038716872612563,0
0.8750000000000007,-0.6441261479535222,0.008677846075908182,2.704371383901207,-1.943123246463825,0.025475805364061653,6.132036234994417,0.9960038330052081,-0.0011262141280007475,-0.08930338929916715,-3.066517586872046e-05,-0.0013358256409265533,0.019154224725221262,-9.105604182983729e-21,0.9961730062840444,0.00015191558072636145,-0.08740313815998413,9.956130073059095e-05,0.001347536946023747,0.01793322266418882,0.002738737879594666,0.011347536946023747,0.01193322266418882,0.004738737879594666,0.16336207360397115,-0.04954548692528081,17.103852030480407,0.26356434258932054,0.004023924201475068,0.0,1.0,1.0,10.247882723108809,10.028473212405732,-10.247081274881538,-10.028456616146121,0.13094136590836888,-0.018623333314315395,-0.17789296701354493,0.0022489041848237886,0.9840472726028389,-0.17413726354915648,-0.000320072341753419,0.9847213367228863,0.64418460047564,0.06476619997038857,-0.004822590386433656,0.06494550051111841,25.54800156943673,1.1561828216223484,0
0.8800000000000007,-0.653878505337165,0.008805852726559022,2.735118133515872,-1.9578180516419732,0.025727010532916005,6.166663811419943,0.996008073099341,-0.0011301433251570431,-0.0892560369475754,-3.107113762303601e-05,-0.0018215396762151699,0.018881097195910947,-9.130701455494968e-21,0.9961770426769855,0.0001545370721493544,-0.087357121354861,9.544747810383932e-05,0.0009023465155234278,0.018477042642394803,-0.0017338392693282936,0.010902346515523428,0.012477042642394805,0.0002661607306717064,0.15534896891473093,0.0423721064659984,17.093757833252116,0.2638305888647257,0.003254076624731846,0.0,1.0,1.0,10.24244093086569,10.02318036485723,-10.241633399303156,-10.023163289847336,0.131399439813216,-0.018884638648379744,-0.17779939651559876,0.0022568103244468667,0.9840641652889556,-0.17404628811577233,-0.00032456860089087266,0.9847374189337711,0.6539377973356538,0.06650886496141285,-0.004073831813637599,0.06663351427098271,25.516945646697906,1.1862334291457048,0
0.8850000000000007,-0.6637043056496885,0.008935120686341788,2.7660380251361256,-1.9725004376846949,0.025980362838146736,6.201293033010457,0.9960122439903771,-0.0011352560005757314,-0.08920941664209825,-3.158232286492867e-05,-0.00228638754717576,0.018566053687445933,-9.205993273028683e-21,0.9961809619668753,0.00014569741920238995,-0.08731243125818766,9.557613223336852e-05,-0.0035163842417369534,0.01794499594993424,0.00035723542536363105,0.006483615758263047,0.011944995949934239,0.002357235425363631,0.14562932348903274,-0.07935050185998238,17.074889483669274,0.26341188780144725,0.0014234541548955265,0.0,1.0,0.9999999999999999,10.23708513525702,10.018037874029435,-10.236269792591452,-10.018022592289139,0.1319958810819441,-0.01786051576860377,-0.17770727080149445,0.0022670926344719156,0.9840807823523794,-0.17395793567450452,-0.0003069719593853547,0.9847530362400925,0.663764447465827,0.06629878578466185,0.004004403177509644,0.06641960735602499,25.520680998821625,1.182425384301247,0
0.8900000000000007,-0.6736034942211577,0.00906568835353053,2.797131065582071,-1.987173375772511,0.026246917968854713,6.235923337378398,0.9960163432493699,-0.0011412294548183957,-0.08916356060966284,-3.2169736402730905e-05,-0.002512902704845448,0.01826705612011092,-9.306382363073637e-21,0.9961848017426085,0.0001373602803122826,-0.08726862107299346,9.841347251548595e-05,-0.0032215744826888954,0.01759173714172874,0.0014190760878548389,0.006778425517311105,0.01159173714172874,0.003419076087854839,0.23263793093282226,-0.18567361635695806,17.20547094391639,0.2630873489521461,0.0017239629794158402,0.0,1.0,1.0,10.231818593338438,10.0129968119219,-10.230994155127176,-10.012983086224823,0.13269295695694575,-0.016922187825585584,-0.1776166537529584,0.002279103113276465,0.9840971141094771,-0.1738713209276973,-0.00029084926330326356,0.9847683378163434,0.6736644967135174,0.06639488304317313,0.0036194452926309913,0.0664934649310967,25.518952517966518,1.183740223133159,0
0.8950000000000007,-0.6835760230059258,0.009197590659347728,2.8283972604753154,-2.001836542756134,0.02651423487900213,6.270554807796576,0.9960203738556556,-0.0011477828689800053,-0.08911844019363353,-3.280822274798331e-05,-0.002752194571645782,0.017975043474550416,-9.306382363073637e-21,0.9961895629018076,0.00013756224934430525,-0.08721425377418143,9.889765315657017e-05,9.925949515841338e-05,0.021830169319344624,0.0001827085472350838,0.010099259495158414,0.015830169319344625,0.002182708547235084,-0.006282640391623018,0.012917485867208062,17.12230701449716,0.26440650145413813,0.004798558949052016,0.0,0.9999999999999999,1.0,10.22663761290116,10.006742977894184,-10.225803183421949,-10.006729198311659,0.13345783202389497,-0.016949640897299577,-0.17752748892475942,0.0022922778798068148,0.9841131724238787,-0.173763831483051,-0.000291326724132322,0.9847873100304805,0.6836378975031555,0.07490669295415499,-0.0023427700407082663,0.07494332005450315,25.367417451720407,1.3341674591535013,0
0.9000000000000007,-0.6936218127471213,0.009330811000501284,2.8598366211301878,-2.0164777865106944,0.026774155580280963,6.30518963624336,0.996024309377598,-0.0011551541035935546,-0.08907434885742149,-3.351869012082869e-05,-0.003169748759951105,0.01744033688551909,-9.306382363073637e-21,0.9961915680909179,-1.8428023695467355e-05,-0.08719146321590232,8.98177929829477e-05,0.00031891977784441125,0.01789455790529084,0.0018195898030075562,0.010318919777844411,0.011894557905290842,0.0038195898030075563,0.15983047083631743,0.016421841129700458,16.99589236262433,0.25315643027863494,0.003960812031972216,0.000316991084696795,1.0000000000000002,1.0,10.221576323391803,10.004109130203041,-10.220730643993921,-10.004109058221783,0.13431831854005208,0.0012248715132641677,-0.17744035616944007,0.0023070944475070696,0.984128851989247,-0.17371880424071148,2.1052994057996004e-05,0.9847952968053558,0.6936845703578318,0.0682242532278391,-0.00013085076452447485,0.06822437871039126,25.48631340063305,1.2145545523802983,0
0.9050000000000007,-0.703740809757565,0.00946534309800829,2.8914491542411236,-2.031119479566191,0.02703896483333038,6.3398237845641505,0.9960281459232643,-0.0011634850970247688,-0.08903132961862813,-3.4313743773628565e-05,-0.0035230400707387485,0.017113779177475908,-9.256187818051161e-21,0.9961947921317125,-2.7091342449653208e-05,-0.08715462061747957,8.66067938262692e-05,-0.0035627713129411697,0.014793692819625157,-0.0009772053953095434,0.0064372286870588305,0.008793692819625156,0.0010227946046904566,0.14628843838989444,-0.11295594670559579,17.10798110233996,0.25251315813515074,0.002517798574968656,0.0,1.0,1.0,10.216639910305224,9.99987140651815,-10.215781487523346,-9.999871160914234,0.13529100663766425,0.0022620326339487505,-0.17735534049119134,0.0023238378044625778,0.9841441372975367,-0.17364596303128527,3.88801440027531e-05,0.984808142742165,0.7038044615077375,0.0632736704707501,0.006975804027913723,0.06365704373183638,25.574721710106814,1.1332452611043409,0
0.9100000000000007,-0.7139330103240966,0.009601229924124679,2.9232348574221723,-2.045759225298385,0.027316064606676887,6.374457660842269,0.9960319246032783,-0.0011724350066171568,-0.08898892813592095,-3.516340080590236e-05,-0.003666841108933518,0.016944011775991315,-9.256187818051161e-21,0.9961990647389609,-3.687157114216921e-05,-0.0871057678036939,8.525864156832015e-05,-0.003942465545604758,0.019616071902764105,-0.00019587067449635038,0.006057534454395243,0.013616071902764107,0.0018041293255036497,0.11395639423619558,-0.0838636729713263,17.00984672312969,0.25309528265384,0.002693369538757542,0.0,1.0,1.0,10.211775621692844,9.9942523284441,-10.21090343471169,-9.994251770013367,0.13633603399231595,0.003409838503346346,-0.1772715442656042,0.00234182369892095,0.9841591921307505,-0.17354937512605806,5.860981050315313e-05,0.9848251677116325,0.7139975678155231,0.07274154568732936,0.007819347314259227,0.07316060867299314,25.40629840305364,1.302431004275542,0
0.9150000000000007,-0.7241983523064646,0.009738509916174668,2.9551937387373766,-2.0603760665280375,0.027596240580910824,6.409095033792756,0.9960356331271585,-0.001181713559443645,-0.08894728660871329,-3.6041522313668556e-05,-0.003786982447129645,0.016503252936693347,-9.256187818051161e-21,0.996202891882265,-3.790888224789984e-05,-0.08706197678764449,9.468979268499658e-05,-8.319440758554168e-05,0.017583070492483067,0.0037947792233112548,0.009916805592414459,0.011583070492483069,0.005794779223311255,-0.02584881569492606,-0.06796423291346462,17.088952788728744,0.253859758879685,0.005411506366007196,0.0,1.0,1.0,10.206999393975805,9.989215162863013,-10.20611283880166,-9.989214595872248,0.13741946951804065,0.0034349361941609135,-0.1771892486829939,0.002360469217940894,0.9841739675160217,-0.17346279327684452,5.9042115181228075e-05,0.9848404215214888,0.7242638276614299,0.06982306803135953,0.0009248657179901457,0.06982919307788236,25.457863920168094,1.2431240119226261,0
0.9200000000000007,-0.7345367667828777,0.009877169903426006,2.987325807575369,-2.0749882494332543,0.027868078700007515,6.443732664765134,0.9960392519219601,-0.0011915477061945365,-0.08890662224022686,-3.6968093350341165e-05,-0.004113059575443286,0.016159032706502378,-9.406771453118591e-21,0.996206831976701,-4.875525469214498e-05,-0.08701688209637301,8.81821758708637e-05,-0.004546933688166328,0.018107107220301927,-0.0022149054668118965,0.005453066311833672,0.012107107220301925,-0.00021490546681189647,0.26524197187001985,-0.0851457992753817,17.2223065000384,0.25419807289396756,0.002981450533535611,0.0,1.0,1.0,10.202336574736858,9.984028627714244,-10.201434692164204,-9.98402753897266,0.13856784811943196,0.0047585109868288795,-0.17710888291563404,0.002380229988435548,0.9841883854717952,-0.17337363348212464,8.179395963664473e-05,0.9848561197063022,0.734603171951459,0.07151493381415412,0.009107832838293906,0.07209256811525824,25.4282644351928,1.2834173734998497,0
0.9250000000000007,-0.7449482139891348,0.010017224390678578,3.019631068023213,-2.0895891831008733,0.028154055062963267,6.478371672718873,0.996042787399206,-0.0012018932719832956,-0.08886686493400116,-3.7939229440071614e-05,-0.004197719260082938,0.015774582049930357,-9.406771453118591e-21,0.9962104956867956,-5.748652911801336e-05,-0.08697492362358991,8.740388105843625e-05,-0.003504800566562395,0.01684757192115716,-5.5406840316269725e-06,0.006495199433437605,0.01084757192115716,0.001994459315968373,0.046933017869899965,0.05364487969977767,17.151860756228306,0.25451060535908904,0.0012772917751105518,0.0,1.0,0.9999999999999999,10.197779052400257,9.979202856642548,-10.196860928416,-9.979201250116011,0.13977600202709767,0.005778818262637959,-0.17703030851477333,0.0024010173303218897,0.9842024715387299,-0.1732906735998469,9.933347557701335e-05,0.9848707187119392,0.7450155611194271,0.06995392335102489,0.007383093711135796,0.07034245847955899,25.45586884172987,1.2522613262126359,0
0.9300000000000007,-0.7554326499414332,0.010158707480033813,3.0521095248594716,-2.104183771865018,0.028439527475151338,6.513011215364086,0.9960462417227841,-0.0012125151085679378,-0.0888279946929859,-3.893394028577549e-05,-0.004334929184631364,0.015446437431044393,-9.256187818051161e-21,0.996212932647432,-6.983282525478002e-05,-0.08694699726878072,8.726581463586496e-05,-0.0049235748609736995,0.011213427718690307,0.0003750669336372997,0.005076425139026301,0.005213427718690307,0.0023750669336372997,0.16581532918791325,0.043823051836065836,17.054699743800708,0.25333776702964655,0.004290169013205498,0.0,1.0,1.0,10.193324177474672,9.975991603529282,-10.192389241198542,-9.975989100796204,0.14101644207083752,0.007211518760112512,-0.17695348613145837,0.0024223590815245395,0.9842162343318689,-0.17323545845607738,0.00012396172619063517,0.9848804295786385,0.7555009516441398,0.06030879971010352,0.010136302788485922,0.06115468875477374,25.62782184757611,1.088697456433221,0
0.9350000000000007,-0.7659900727440679,0.010301633381102996,3.0847611753796027,-2.1187839347358026,0.028731186625670754,6.547649143823907,0.9960496541529443,-0.0012233786366961164,-0.08878957264530637,-3.994966073076958e-05,-0.004391827766004245,0.0154144859834179,-9.356576908096115e-21,0.9962161877615704,-8.20311630501725e-05,-0.08690967950496008,9.011679600080577e-05,-0.004760309492011015,0.01498413070828438,0.001561246118883192,0.005239690507988985,0.00898413070828438,0.003561246118883192,0.13602837671662496,-0.05930505089736543,17.167241583391384,0.2531753910751362,0.001660865403626677,0.0,1.0,1.0,10.188921420052036,9.971700280912202,-10.187969138200888,-9.971696722578681,0.1422851124958327,0.008596896938757577,-0.17687754850436732,0.0024441859625657547,0.9842298302683505,-0.1731616739767936,0.00014777750134609347,0.9848934017584668,0.7660593418220165,0.06769728771603192,0.010052254971798779,0.06843953969837363,25.496319539879384,1.2183848982132441,0
0.9400000000000007,-0.7766204481948312,0.010446022595466257,3.11758602261843,-2.133364839891827,0.02902485697966779,6.582289900586487,0.9960530345052254,-0.0012343886822981113,-0.08875149045686676,-4.097802225917802e-05,-0.004452598730660974,0.015173356526917139,-9.45696599814107e-21,0.9962192209780896,-8.593855876376855e-05,-0.0868748973238264,9.264635410795769e-05,-0.0014677538011074066,0.013965732963045327,0.001144862849675589,0.008532246198892594,0.007965732963045327,0.003144862849675589,0.10714815519661033,0.07802886507287243,17.062771953653947,0.2532969851760662,0.0034173622679001133,0.0,1.0,0.9999999999999999,10.184558175792187,9.967699840353319,-10.183588153597404,-9.967695917523567,0.1435708845547463,0.009024515016718165,-0.17680228160723357,0.002466306906626834,0.9842432984525318,-0.173092900992776,0.0001551300031261312,0.9849054896590773,0.7766906977313462,0.06644941889527699,0.004212838285086005,0.06658283020371153,25.518010772336797,1.1853311335541155,0
0.9450000000000007,-0.7873237117258675,0.01059186390919926,3.1505840751010075,-2.1479391811412984,0.029312037029409016,6.616931238274628,0.9960563645613584,-0.0012457675140809883,-0.0887139499338763,-4.203856791202256e-05,-0.004688010193881299,0.01497931670403696,-9.45696599814107e-21,0.9962223003416445,-9.819706583811601e-05,-0.08683957082444123,8.71686025229665e-05,-0.005073800790461404,0.014184825428637957,-0.0017557337039209636,0.004926199209538597,0.008184825428637956,0.00024426629607903643,-0.026012526953499565,0.05191752175321192,17.11034500225527,0.2529969385286423,0.0019653629716107897,0.0,1.0,0.9999999999999999,10.180258024439087,9.963637861816023,-10.17926950853153,-9.963632548021558,0.14489974422258634,0.010501002741456399,-0.17672808417346586,0.0024891681371463784,0.9842565663008613,-0.173023051134214,0.00018051284556717427,0.9849177585927261,0.7873949546618062,0.06743131356647869,0.010881900415766388,0.06830371736559752,25.50116091548737,1.2159669380557079,0
0.9500000000000007,-0.7980998225652175,0.010739171451324494,3.183755337019604,-2.1625037765765516,0.029611357989222074,6.651573672005522,0.9960596475130051,-0.001257487928230805,-0.08867691616354456,-4.312890386442404e-05,-0.004726930873255263,0.014766232120693033,-9.406771453118593e-21,0.9962458709122499,4.080818991121792e-06,-0.08656879549313332,9.12168169681128e-05,-0.004211567170358784,0.016404779213653915,-0.0019269022745429952,0.0057884328296412164,0.010404779213653915,7.309772545700485e-05,0.2199054827118932,-0.20506619774933627,17.268591879227767,0.28275242490143465,0.002581354043472669,0.000513738703884414,1.0,1.0,10.176016921794927,9.932485627024423,-10.17500918536796,-9.93248553338783,0.14626850960065832,-0.0013916053734884383,-0.17665488724464906,0.0025127150414752915,0.9842696465276684,-0.17248760937528346,-2.3924058086985017e-05,0.9850116872604301,0.7981720720384125,0.0759275235753749,0.007622467082208288,0.07630917926900052,25.349577974688273,1.3584829388080015,0
0.9550000000000007,-0.8089487047861796,0.010887969209105189,3.217099818789563,-2.177047756454889,0.029908129608170235,6.686219174147955,0.9960628546392889,-0.001269427428634633,-0.08864071414909333,-4.423768851118168e-05,-0.004863945446592375,0.01431116843687043,-9.356576908096117e-21,0.9962484861721046,-1.3078557465978575e-05,-0.08653869405584151,8.977667147910676e-05,-0.006886757811460366,0.012086556748398383,2.014646408129636e-05,0.003113242188539634,0.006086556748398383,0.0020201464640812964,0.01429235581778665,0.054849684358940304,17.11408237648305,0.28184219487804607,0.00300683769232133,0.0,1.0,1.0,10.171872067631812,9.929023365387483,-10.17084457103046,-9.92902334727335,0.14766287249971602,0.0006119560486132064,-0.17658333323215186,0.002536701537250322,0.9842824246982844,-0.17242808824518474,1.052067434062764e-05,0.9850221085201216,0.8090219742681506,0.0686801893658533,0.012709304763497953,0.06984622279623243,25.47920283434647,1.2434271416253184,0
