time_s,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,qw,qx,qy,qz,wx_radps,wy_radps,wz_radps,q_norm,tilt_deg,signed_pitch_deg,unwrapped_pitch_deg,signed_yaw_deg,body_z_x,body_z_y,body_z_z,lateral_m,control_tx_nm,control_ty_nm,control_tz_nm,control_torque_norm_nm
1.5399999999999892,-0.9086625691726622,0.07398387434443834,8.470422134612482,-2.0538617644779085,0.15745428970883424,10.934720752749971,0.9964669408994553,-0.00619881969426193,-0.08375648969575625,-0.000246500961705386,-0.0096600304227777,0.04150472042078475,1.1547328957278083e-19,0.9999999999999999,9.635386735540964,-9.609423607680343,-9.609423607680343,0.720312774701715,-0.1669180901051818,0.012395129906375105,0.9858928501364853,0.9116695005748942,0.29890606571832035,2.6725978756081514,-5.0632363298140126e-18,2.6892609097721274
1.544999999999989,-0.9189607700561547,0.07477402431529208,8.525183332068092,-2.0654153025251762,0.15860642472690115,10.96975854002692,0.9964755676372232,-0.006222856666780094,-0.0836519997940428,-0.0002491735058071186,-0.009658500423804684,0.04237711991378708,1.097943883677594e-19,1.0,9.623608155603359,-9.597408819229072,-9.597408819229072,0.7231003168945465,-0.16671124681549176,0.012443536982822462,0.9859272379707245,0.921997858790629,0.29975091101317686,2.661897124481405,4.839117287024452e-18,2.678721133297679
1.549999999999989,-0.9293166890203123,0.07556994585183426,8.580119723155528,-2.076948934286023,0.15976291581920515,11.004798212920683,0.9964843642662403,-0.006246889158505383,-0.08354534526635486,-0.00025185923396129267,-0.009656926406733836,0.04324175739092904,1.308174336080813e-19,0.9999999999999999,9.611582788640682,-9.585145184967594,-9.585145184967594,0.7258868148779576,-0.16650011385685815,0.012491938076829443,0.9859623033203337,0.9323842154432501,0.3005952966372939,2.6511812705397175,-1.831739010969387e-18,2.6681678473478865
1.5549999999999888,-0.9397302255995369,0.07637166073193892,8.635231317413885,-2.0884622866338742,0.16092376198246905,11.039839815716775,0.9964933284758083,-0.006270917055308403,-0.08343654536640659,-0.0002545580683413696,-0.009655308119574123,0.04409865439858562,1.4150641968599943e-19,1.0,9.599312873694029,-9.572634925145284,-9.572634925145284,0.728672253610594,-0.1662847289923219,0.012540332909715068,0.9859980369932103,0.9428284719228153,0.3014392172326007,2.6404508211754387,3.3656935924323393e-18,2.657601576747698
1.5599999999999887,-0.9502012774706866,0.07717919072839732,8.690518124601907,-2.099954989676194,0.16208896218683738,11.07488339199057,0.9965024579543107,-0.006294940242433795,-0.08332561929289518,-0.00025726993049937386,-0.009653645307346588,0.04494783330470204,1.5732756941720215e-19,1.0,9.586800643697915,-9.559880253723083,-9.559880253723083,0.7314566180650083,-0.16606512987419303,0.012588721201090164,0.9860344297935996,0.9533305277753436,0.3022826673859261,2.6297062752142426,-7.105688990234053e-18,2.6470228380018024
1.5649999999999886,-0.9607297404692232,0.07799255760878475,8.745980154694442,-2.1114266767454266,0.1632585153757502,11.109928984606782,0.9965117503897659,-0.006318958604493988,-0.08321258618751262,-0.000259994741382904,-0.009651937712218702,0.04578931728185387,1.4154624029504686e-19,1.0,9.574048325249604,-9.54688337814061,-9.54688337814061,0.7342398932262845,-0.16584135404033856,0.012637102668860803,0.9860714725242812,0.9638902807189315,0.30312564162979916,2.618948122983853,3.616943812894487e-18,2.6364321393683023
1.5699999999999885,-0.9713155086053133,0.07881178313532665,8.801617417878882,-2.122876984389614,0.16443242046581652,11.144976635719123,0.9965212034703673,-0.006342972025463255,-0.08309746513299854,-0.00026273242135211054,-0.009650185073636313,0.046623130290443675,1.255207987058957e-19,1.0,9.5610581383837,-9.533646499088059,-9.533646499088059,0.7370220640906865,-0.16561343891054756,0.012685477029232263,0.9861091559887087,0.9745076266598268,0.303968134443243,2.6081768463830213,-5.479041449991635e-18,2.625829980932769
1.5749999999999884,-0.9819584740798831,0.07963688906476417,8.857429924551612,-2.1343055523627004,0.16561067634668808,11.18002638677014,0.9965308148850144,-0.006366980388672078,-0.0829802751512342,-0.0002654828901966371,-0.009648387128453173,0.04744929706203516,1.3997980813525212e-19,1.0,9.547832296351586,-9.520171810282921,-9.520171810282921,0.7398031156643271,-0.1653814217829734,0.012733843996713509,0.9861474709931116,0.9851824597084573,0.3048101402525633,2.5973929189508294,-1.3759264104010687e-17,2.6152168546827426
1.5799999999999883,-0.992658527300622,0.08046789714821907,8.913417685314448,-2.145712023614528,0.16679328188093295,11.215078278491207,0.9965405823238334,-0.006390983576801816,-0.08286103520137712,-0.00026824606715252126,-0.009646543611058097,0.04826784308282571,6.258692412902506e-20,1.0,9.534373005404833,-9.506461498251472,-9.506461498251472,0.7425830329618602,-0.1651453398306526,0.012782203284122187,0.9861864083485545,0.9959146721954125,0.3056516534321314,2.586596805936241,-4.922207377699648e-18,2.6045932445826083
1.5849999999999882,-1.0034155568979373,0.08130482913105799,8.969580710971089,-2.1570960442805327,0.16798023590390954,11.25013235090271,0.9965505034786867,-0.006414981471879653,-0.08273976417803591,-0.0002710218709190514,-0.009644654253499762,0.04907879457725799,4.772052721841099e-20,1.0,9.520682464585077,-9.492517742114904,-9.492517742114904,0.745361801005194,-0.16490523009809813,0.012830554602590093,0.9862259588729568,1.0067041546873778,0.30649266830516064,2.575788964367893,-6.335558803997765e-18,2.5939596266488496
1.589999999999988,-1.014229449740855,0.08214770675275605,9.025919012523556,-2.168457263671142,0.16917153722364042,11.285188643314372,0.9965605760436742,-0.006438973955273854,-0.08261648090948522,-0.00027381021967557654,-0.00964271878560916,0.04988217849177162,2.8604216292243794e-20,1.0,9.506762865516675,-9.478342713380234,-9.478342713380234,0.7481394048222267,-0.16466112949796924,0.012878897661569154,0.9862661133930721,1.0175507960030175,0.30733317914447933,2.564969843124143,-3.7889132076477744e-18,2.583316469025687
1.594999999999988,-1.025100090952869,0.08299655174675989,9.082432601168644,-2.1797953342608873,0.17036718462068676,11.320247194325756,0.9965707977156212,-0.006462960907689277,-0.08249120415592004,-0.0002766110310982652,-0.009640736935119758,0.05067802247869539,6.5630771949021406e-21,1.0,9.492616392205388,-9.463938575735767,-9.463938575735767,0.7509158294456023,-0.16441307480781356,0.01292723216883777,0.9863068627464241,1.0284544832288072,0.30817318017329426,2.554139883003286,1.6551138041054523e-18,2.5726642320610287
1.5999999999999879,-1.0360273639277315,0.08385138584035005,9.139121488294375,-2.191109911677233,0.17156717684802264,11.355308041826914,0.9965811661945592,-0.006486942209163185,-0.08236395260774952,-0.0002794242223768106,-0.009638708427785345,0.05146635488028092,-5.955494657260478e-22,1.0,9.478245220841472,-9.44930748485118,-9.44930748485118,0.7536910599114881,-0.16416110266688402,0.012975557830507717,0.9863481977832069,1.039415101734813,0.309012665565952,2.543299516793998,-9.333773847752854e-18,2.5620033683827894
1.6049999999999878,-1.047011150345192,0.08471223075450271,9.195985685476444,-2.202400654689127,0.17277151263090992,11.390371222999201,0.9965916791841939,-0.006510917739061298,-0.08223474488392941,-0.0002822497102310776,-0.009636632987495626,0.05224720471287828,-6.105553194626949e-20,0.9999999999999999,9.463651519606676,-9.43445158818217,-9.43445158818217,0.7564650812583736,-0.16390524957302763,0.01302387435103134,0.9863901093681403,1.050432535190417,0.3098516294486912,2.532449169345924,-6.006604383975819e-18,2.5513343229755034
1.6099999999999877,-1.0580513301866732,0.0855791082037508,9.253025204474687,-2.2136672251952856,0.17398019066677337,11.425436774316228,0.9966023343923658,-0.006534887376074141,-0.08210359953033328,-0.00028508741092769037,-0.00963451033638957,0.053020601651254225,-6.008040576071049e-20,1.0,9.448837448486792,-9.419373024779592,-9.419373024779592,0.7592378785258891,-0.1636455518796467,0.013072181433209274,0.9864325883822894,1.061506665579985,0.31069006590039133,2.5215892576404446,2.660906052318253e-18,2.5406575332572627
1.6149999999999876,-1.0691477817508912,0.08645203989604454,9.310240057229539,-2.224909288212211,0.17519320962507604,11.46050473154498,0.9966131295314975,-0.006558850998213618,-0.08197053501816164,-0.0002879372402965551,-0.009632340194966527,0.05378657601305362,-3.320935107302475e-20,1.0,9.433805159088106,-9.404073925103082,-9.404073925103082,0.7620094367536459,-0.16338204579273066,0.013120478778198445,0.9864756257248393,1.0726373732184789,0.3115279689533134,2.5107201908615515,-2.7226574293289738e-18,2.5299734291569234
1.6199999999999875,-1.0803003816694134,0.0873310475326113,9.367630255858504,-2.236126511861951,0.1764105681471952,11.495575129747056,0.9966240623190336,-0.0065828084828098606,-0.08183556974238912,-0.0002907991137473167,-0.009630122282195149,0.05454515874340459,2.416461416537033e-20,1.0,9.418556794458564,-9.38855641083912,-9.38855641083912,0.7647797409800953,-0.16311476736795932,0.013168766085520502,0.9865192123148346,1.0838245367670098,0.31236533259383553,2.4998423704668715,-2.541292243111883e-18,2.519282433191619
1.6249999999999873,-1.0915090049221559,0.08821615280781486,9.425195812652639,-2.247318567359611,0.17763226484629865,11.530648003280078,0.9966351304778692,-0.006606759706508308,-0.08169872202024897,-0.000293672946285745,-0.009627856315620126,0.0552963813996678,6.862294302650784e-20,1.0,9.403094488913073,-9.372822594723454,-9.372822594723454,0.7675487762414098,-0.1628437525078752,0.013217043053070606,0.9865633390928773,1.0950680332483305,0.3132021507631824,2.488956190258777,1.9209645299814772e-18,2.508584960544524
1.6299999999999872,-1.1027735248528157,0.08910737740901406,9.482936740073027,-2.2584851290006145,0.1788582983072215,11.56572338579921,0.9966463317367693,-0.0066307045452670375,-0.08156001008975469,-0.00029655865253004865,-0.009625542011466773,0.05604027613633044,7.822121369246786e-20,1.0,9.387420367863836,-9.35687458036789,-9.35687458036789,0.7703165275703826,-0.16256903695912528,0.013265309377126541,0.9866079970227852,1.1063677380622665,0.314038417358148,2.4780620364555923,2.8657000990424832e-18,2.49788141914288
1.6349999999999871,-1.1140938131842413,0.09000474301642084,9.540853050747277,-2.2696258741477275,0.18008866708634338,11.600801310258836,0.9966576638307769,-0.006654642874354323,-0.08141945210825839,-0.00029945614672711264,-0.009623179084743467,0.056776875690045234,1.957473497121941e-20,0.9999999999999999,9.37153654765452,-9.3407144620914,-9.3407144620914,0.7730829799953474,-0.16229065630977127,0.013313564752358155,0.9866531770932115,1.1177235250010868,0.31487412623181255,2.4671602877628565,2.8774741372951483e-18,2.4871722097362596
1.639999999999987,-1.1254697400337357,0.09090827130295762,9.59894475746602,-2.2807404832178477,0.18132336971146634,11.635881808914357,0.9966691245016138,-0.006678574568346435,-0.08127706615104557,-0.00030236534276865794,-0.009620767249341983,0.057506213364814915,7.482436785647635e-20,1.0,9.355445135398815,-9.324344324755465,-9.324344324755465,0.7758481185391176,-0.16200864598666756,0.013361808871837152,0.9866988703192275,1.129135266264807,0.31570927119425324,2.456251315444675,4.356547798585846e-18,2.4764577259750875
1.644999999999987,-1.1369011739282937,0.09181798393411414,9.657211873179422,-2.2918286396685654,0.18256240468169307,11.670964913324118,0.9966807114980676,-0.006702499501125634,-0.08113287020996578,-0.0003052861542073181,-0.009618306218135728,0.058228323017322406,9.449657875603272e-20,0.9999999999999999,9.3391482288237,-9.307766243603671,-9.307766243603671,0.7786119282179452,-0.1617230412529056,0.013410041427047083,0.9867450677438605,1.140602832476431,0.3165438460132468,2.4453354833950534,7.202748942353144e-18,2.4657383544893356
