time_s,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,qw,qx,qy,qz,wx_radps,wy_radps,wz_radps,q_norm,tilt_deg,signed_pitch_deg,signed_yaw_deg,body_z_x,body_z_y,body_z_z,lateral_m,cmd_gimbal_x_deg,cmd_gimbal_y_deg,cmd_gimbal_total_deg,ach_gimbal_x_deg,ach_gimbal_y_deg,ach_gimbal_total_deg,gimbal_lag_error_deg,requested_torque_norm_nm,achievable_torque_norm_nm,available_tvc_torque_nm,torque_authority_margin_nm,rate_limited,position_limited,saturated
0.08,0.0004038279637775959,2.2032234729251798e-05,0.023016992528026258,0.012187300081743586,0.0005821434462614296,0.5754081547082746,0.9999943517613247,-4.954795713571119e-05,-0.0033606532767664317,3.543041517217898e-08,-0.002318819898646924,-0.23778480026030185,-1.1264361763833233e-21,0.9999999999999999,0.38514507648433655,-0.38510322484469306,0.005677860201648379,-0.006721268593500248,9.909511641536513e-05,0.9999774071091065,0.00040442853966544474,1.0165397065289683,0.004995106179446031,1.016551979013245,0.8492513283694665,0.002083813086158185,0.8492538848979624,0.16731370862757025,8.60288737392916,15.118168402209356,88.89885760261133,80.29597022868217,0,0,0
0.085,0.00046672437793173654,2.505407347281884e-05,0.025983940016246633,0.012953567744651055,0.000626765582173631,0.6113709723101795,0.9999920552242835,-5.547619915982555e-05,-0.003985776047736853,4.651442521122504e-08,-0.002423854670939795,-0.2623167321039372,-2.331105256922773e-21,1.0,0.45678173959042645,-0.4567375029688387,0.00635723440029405,-0.007971488768441082,0.00011095114603556747,0.9999682210233772,0.00046739635380835807,0.9620177252312182,0.005283493042895037,0.9620322338455101,0.85676908816025,0.002297125083273975,0.8567721676213546,0.10529099676081827,9.573909912194049,15.251996729635412,88.89885760261133,79.32494769041728,0,0,0
0.09000000000000001,0.0005332058439951372,2.8302456106874228e-05,0.02913070334542405,0.013619576883431095,0.000672768751316725,0.6473344834536997,0.9999890818894022,-6.165930910781558e-05,-0.004672504694139535,6.000247850045438e-08,-0.002522740049390354,-0.2870712694277274,-1.9295488967429564e-21,1.0,0.5354781640101816,-0.5354315492316497,0.007065835633435377,-0.009344907365832454,0.0001233167110855938,0.9999563277960258,0.0005339564599218255,0.9060570115525046,0.005565153153749752,0.9060741024403469,0.8600549497197335,0.0025149936213056936,0.8600586269146591,0.046103071112881984,10.570521457731939,15.310496886164648,88.89885760261133,78.32833614487939,0,0,0
0.09500000000000001,0.000602729147572837,3.178441885684842e-05,0.03245728595278574,0.014168547527011618,0.0007202049564366635,0.683298667710998,0.9999853026645362,-6.808175549229168e-05,-0.005421237846167457,7.619749659391592e-08,-0.0026153572162909058,-0.31192281158028423,-3.535774337462223e-21,1.0,0.621280125979668,-0.6212311445614647,0.007801891120878217,-0.010842316347207726,0.00013616068357427986,0.9999412110901797,0.0006035666281496569,0.8488759440463788,0.005839612316919912,0.8488960298249973,0.8593096826748432,0.002736634867679975,0.8593140403305062,0.010885374169848411,11.588829404727026,15.297242977428343,88.89885760261133,77.31002819788431,0,0,0
0.10000000000000002,0.0006746677938905305,3.5507248698703244e-05,0.03596369100058119,0.014583956197244851,0.0007691224865285832,0.7192634344608518,0.999980577687665,-7.472773757011991e-05,-0.006232067329543925,9.541027984906105e-08,-0.002701611165788386,-0.3367517122189134,-3.535774337462223e-21,1.0,0.7141982730014919,-0.7141469408501936,0.008563598726950625,-0.012463892591031105,0.00014945138316274555,0.9999223115051307,0.0006756015074163666,0.7906874249388269,0.006106434355472136,0.7907110044111759,0.8547348654924422,0.0029612881668661193,0.8547399952710709,0.06412461762861889,12.625039059990925,15.2158232935405,88.89885760261133,76.2738185426204,0,0,0
0.10500000000000002,0.000748313421794344,3.94784647549012e-05,0.03964992100420282,0.014849588108783559,0.0008195659042520126,0.7552286146094774,0.9999747573115584,-8.15812438162007e-05,-0.007104793042499188,1.1795695761922514e-07,-0.002781429998275846,-0.3614443030221127,-2.7326616171025897e-21,1.0,0.8142098329914383,-0.8141561701337917,0.009349133793995048,-0.014209227416090098,0.00016315669285301711,0.9998990305206479,0.0007493540727966745,0.7316985912128694,0.006365220802917341,0.7317262769771,0.8465324472071373,0.003188217009269534,0.8465384509295504,0.11487779522439102,13.67545882653798,15.069832549012391,88.89885760261133,75.22339877607335,0,0,0
0.11000000000000003,0.0008228774709532132,4.3705799653456925e-05,0.04351597742138101,0.014949586249432621,0.0008715760437078507,0.7911939533163492,0.9999676832894224,-8.862610862287057e-05,-0.008038937876201323,1.4415639953085876e-07,-0.0028547641842117328,-0.3858929044632004,-4.338887057821856e-21,0.9999999999999999,0.9212603283631449,-0.9212043587123068,0.010156655750498048,-0.016077356193897295,0.00017724417130845664,0.9998707352464709,0.0008240373347887245,0.6721105478698334,0.0066156105145761925,0.6721431059382876,0.8349043205846504,0.003416709909623311,0.8349113117197078,0.16282519890914873,14.736504987917927,14.862864329281743,88.89885760261133,74.1623526146934,0,0,0
0.11500000000000003,0.0008974930866981357,4.819718090099794e-05,0.0475618602077217,0.014868497354334835,0.0009251900182243917,0.8271591038201258,0.9999591901402385,-9.584606715869777e-05,-0.009033762647958231,1.7432761423792316e-07,-0.002921585800111134,-0.4099958239871429,-2.73266161710259e-21,1.0,1.0352652914133509,-1.0352070425517712,0.010984314480899874,-0.01806678799616013,0.00019168116171969663,0.9998367638919038,0.000898786297691365,0.6121181231758899,0.006857279202447407,0.6121565314512574,0.8200519074240663,0.0036460811958115846,0.8200600129124307,0.20795857862662223,15.804706095931552,14.598503754966726,88.89885760261133,73.09415150667978,0,0,0
0.12000000000000004,0.0009712172470088646,5.296071231900592e-05,0.05178756734428282,0.014591314791111068,0.000980441237802603,0.8631236224405319,0.9999491066702888,-0.00010322480832657247,-0.010088281017438229,2.0878715971001488e-07,-0.002981887739425773,-0.43365734195072103,-6.748225218900755e-21,1.0,1.1561119774369235,-1.1560514804108057,0.011830256445403023,-0.02017553522555641,0.00020643489713765588,0.9997964318615044,0.0009726601554175098,0.5519096456561263,0.007089938897924315,0.5519551831461021,0.8021757566395371,0.0038756717092857666,0.8021851191410945,0.25028675118815386,16.87670696533277,14.280320374198025,88.89885760261133,72.02215063727856,0,0,0
0.12500000000000003,0.0010430330962531592,5.800465559066576e-05,0.056193094343216884,0.01410351837663004,0.0010373594358728463,0.8990869648128887,0.9999372576257141,-0.00011074602576685532,-0.011201274357087752,2.478465868965456e-07,-0.0030356829009989587,-0.45678768570282363,-6.748225218900755e-21,1.0,1.283661072115868,-1.2835983612403523,0.012692630539506396,-0.022401143179975172,0.00022147260220127537,0.9997490383761901,0.001044644714699521,0.49166674255771214,0.007313337346609928,0.49172113096800807,0.7814751557007488,0.004104849418440711,0.7814859363841793,0.28982617328887017,17.949272279986314,13.911861292687798,88.89885760261133,70.94958532262501,0,0,0
